pivot_sample,confirmation_sample,elapsed_seconds,timestampUs,x,y,angle,incoming_pixels,outgoing_pixels,incoming_speed,outgoing_speed,rejected_by
1023,1024,19.468665,1789749924034709,36.695518493652344,29.21601676940918,6.607345507743051,13.83315227413317,13.081221189396416,707.469558335456,1106.7959378455382,"outside_board,angle"
1024,1025,19.480469,1789749924046528,47.8370246887207,36.07059097290039,2.5357513631497786,13.081221189396416,12.40583100808217,1106.7959378455382,731.7347533373935,"outside_board,angle"
1025,1026,19.497429,1789749924063482,58.1053352355957,43.03237533569336,3.9864055505729277,12.40583100808217,11.603466284826547,731.7347533373935,565.6364572890001,"outside_board,angle"
1026,1027,19.517939,1789749924083996,67.23361206054688,50.195823669433594,5.9474563826272275,11.603466284826547,12.462756464679709,565.6364572890001,961.33573470223,"outside_board,angle"
1027,1028,19.530907,1789749924096960,76.1878890991211,58.864227294921875,4.884652159490512,12.462756464679709,11.89987378349632,961.33573470223,630.0229660893858,"outside_board,angle"
1028,1029,19.549789,1789749924115848,84.00191497802734,67.83908081054688,3.4300399122754586,11.89987378349632,12.008956752090175,630.0229660893858,878.8756405218219,angle
1029,1030,19.563456,1789749924129512,91.33155822753906,77.35177612304688,3.149477466430632,12.008956752090175,11.11241021020513,878.8756405218219,578.8919676081023,angle
1030,1031,19.582652,1789749924148708,97.62013244628906,86.51362609863281,1.7363333145516262,11.11241021020513,11.242030920523725,578.8919676081023,582.0061565812656,angle
1031,1032,19.601964,1789749924168024,103.69829559326172,95.97085571289062,24.539664825188854,11.242030920523725,7.644963867740206,582.0061565812656,689.4186912922902,angle
1032,1033,19.613055,1789749924179113,104.78726196289062,103.5378646850586,30.41438016622042,7.644963867740206,6.3407160456681595,689.4186912922902,322.7320224801832,angle
1033,1034,19.63271,1789749924198760,102.38890075683594,109.4074935913086,16.362815656237593,6.3407160456681595,7.104477166265653,322.7320224801832,371.1654127927304,angle
1034,1035,19.651845,1789749924217901,97.95772552490234,114.9607162475586,0.5999205671694574,7.104477166265653,8.229794860197877,371.1654127927304,679.1940959146552,angle
1035,1036,19.663961,1789749924230018,92.75759887695312,121.33944702148438,4.1791453640736345,8.229794860197877,9.199993236442065,679.1940959146552,434.7617426606524,angle
1036,1037,19.685125,1789749924251179,87.47954559326172,128.8748321533203,5.958049177460692,9.199993236442065,10.396655098914653,434.7617426606524,927.0312170231523,angle
1037,1038,19.696322,1789749924262394,82.43109893798828,137.96348571777344,4.927767476005908,10.396655098914653,10.881388046285654,927.0312170231523,562.5491416163808,angle
1047,1048,19.86323,1789749924429284,31.316171646118164,144.26380920410156,0.4363915521135519,9.103651871990325,9.669555512429692,808.9258816412231,483.7680364433506,"outside_board,angle"
1048,1049,19.88324,1789749924449272,24.748476028442383,137.16693115234375,3.2707453704394394,9.669555512429692,10.059210595575601,483.7680364433506,705.216671030258,"outside_board,angle"
